Review_Text,Sentiment_Class
ഞാനും i phone വാങ്ങി .BUT Android feel miss ച്ചെ യുന്നു,Mixed Feelings
Esim ആക്റ്റീവ് ചെയ്യാൻ പറ്റുന്ന കുറഞ്ഞ ഫോൺ പറയാവോ? പിന്നെ ഐഫോൺ ഇഷ്ടമല്ല മലയാളത്തിൽ മയിൽ എന്ന് എഴുതിയാൽ ---വരും... മലയാളം കൂടി നല്ലപോലെ ടൈപ്പ് ചെയ്യാൻ കഴിഞ്ഞെങ്കിൽ ഞാൻ ഐഫോൺ എടുത്തേനേ,Mixed Feelings
@games channel കവീഡിയോ  ഒരു  രക്ഷയുമില്ല.!  ഫോട്ടോഗ്രഫിയിലും  വിഡിയോയിലും ഞാൻ  സാറ്റിസ്‌ഫൈഡ്  ആണ് .   ഇത്തിരി  കൂടെ  പെർഫോമെൻസ്  ഫോക്കസ്‌  ഒക്കെ  വേണമെങ്കിൽ  13 പ്രോ  ആയിരിക്കും  ബെറ്റർ,Mixed Feelings
iPhone എന്നും പുലിയാ  പക്ഷെ  പണം?,Mixed Feelings
applnte ഒരു ബിസിനസ് ഭാഗം ആയിട്ടാണ് 12/13 ഒക്കെ ഇറക്കുന്നത് പുതിയ device വാങ്ങുന്നവർ ഒരിക്കലും 13 എടുക്കരുത് 256 ജിബി ഏകദേശം 90 thusnd rupees വരുന്നുണ്ട്. ഒരു 15 അതികം കൊടുത്താൽ പ്രൊ കിട്ടും അത് എടുത്തോ അല്ലെങ്കിൽ ബിഗ്‌ബിലിയോൺ days എന്നും പറഞ്ഞു അവന്മ്മാര് നമ്മളെ മൂൻജ്ജിക്കും,Mixed Feelings
ഒരേ ഒരു ഗുണം വീഡിയോ powli ആണ്😊..ഫോട്ടോ ബെറ്റർ ആകുന്നത് s23 ultra aanu ..Best phone i think iqoo nte phn medikkuka kodukkunna paisakku muthal aakunna ithupole oru phn vere illa,Mixed Feelings
ഞാൻ ആദ്യമായി ഒരു apple product വാങ്ങി. Apple productsil value for money എന്ന് തോന്നിയ ഒരേ ഒരു സാധനം..Ipad Air 5 with M1 processor. 50k..iOS nu ഒരുപാട് limitation ഉണ്ടെന്നു മനസിലായി.,Mixed Feelings
"samsung ഒരു cheap ബ്രാൻഡ് ആണ്... എത്രയോ local phones ഇറക്കീട്ടുണ്ട്, samsung ന്റെ budget phones പലതും oppo ആയിട്ട് പോലും compare ചെയ്യാൻ പറ്റില്ല ... samsung A 71 ആണെന്ന് തോന്നുന്നു online class attend ചെയ്യാൻ ഒരു കുട്ടിക്ക് വാങ്ങിച്ചു കൊടുത്തിട്ട് 1year ആകുന്നെന് മുൻപേ complaint ആയിട്ട് ഒരു oppo phone വാങ്ങിച്ചു കൊടുത്തു ഇപ്പഴും അത്‌ അവൻ ഉപയോഗിക്കുന്നു ഒരു കുഴപ്പവും ഇല്ല ...😂 apple ന്റെ ഏത് product ആണെങ്കിലും ഒരു മിനിമം quality അവർ keep ചെയ്യും iphone 6 ഇപ്പഴും complaint ഇല്ലാതെ വീട്ടിൽ ഇരിക്കുന്നുണ്ട്.. അതാണ് brand .. 14 പ്രൊ, max okke വെയിറ്റ് കൂടുതലാണ് എന്നതൊഴിച്ചാൽ ഒരു കുറ്റവും പറയാനില്ല .... ഒരു samsung😂😂",Mixed Feelings
Instagram റീൽസിന് വേണ്ടി മാത്രം ഇത് വാങ്ങിയ same എന്റെ അവസ്ഥ. ആകെ വീഡിയോ camera മാത്രം. അത് ഒരു രക്ഷയുമില്ല. ബാക്കി പരുപാടിക്ക് full android തന്നെ വേണം. ഇതിൽ ഒരു പണിയും നടപ്പില്ല 😢,Mixed Feelings
Look Iphone 6... 6s നും ആയിരുന്നു..🔥🔥🔥. ഇത് ആദ്യകാല ഐഫോണിന്റെ ഡിസൈൻ 🤣,Mixed Feelings
"ഐഫോൺ ഉണ്ടെങ്കിൽ rich ഫീൽ ആണ്,പക്ഷെ ജോലിയും കൂലിയും ഒന്നും ഇല്ലാതെ ഇതും കൊണ്ട് നടന്നാൽ ഒരു പട്ടി പോലും വില തരത്തില്ല 🤣🤣🤣",Mixed Feelings
"നല്ല ബാറ്ററി &amp; weight കുറഞ്ഞ വലിയ ഐഫോൺ, കൊള്ളാം 🎉 വില കുറച്ചു കൂടി പോയി refresh rate അറിയാൻ ഉണ്ട്",Mixed Feelings
പകുതി കടിച്ച ആപ്പിൾ ആണെങ്കിലും ആളുകൾക്ക് ഇത് മതി...... ക്യാമറ ഡിപ്പാർട്മെന്റ് ഉം സൗണ്ടും ഒഴിച്ച് നിർത്തിയാൽ iphone വൻ തോൽവി ആണ്,Mixed Feelings
S20 complaint വന്നു android മടുത്ത് iphone 14  വാങിയാലോ,Mixed Feelings
@BruceWayne  ഒരു സാധാരണ ഉപഭോക്താവിന് എന്ത് പ്രയോജനം 🤔 ഈ ഓൺലൈനിൽസ്വാധീനിക്കുന്നവർ അവർക്കൊക്കെ ചിലപ്പോ ഉണ്ടായേക്കാം അതും ഉറപ്പില്ല,Mixed Feelings
ദെ വീണ്ടും confusion.. Android എടുക്കാൻ വേണ്ടി ആലോചിച്ചു നടക്കുമ്പോഴാണ് ee video കണ്ടത്.. Iphone വാങ്ങേണ്ടി വരുമോ ഇനി 🙄😇,Mixed Feelings
തേർഡ് റൈറ്റ് ചെറ്റ എന്ന്  പറഞ്ഞത് 100% ഇഷ്ടമായി ... അത് തന്നെയാണ് സത്യവും ... ഐഫോൺ 4 മുതൽ ഇങ്ങോട്ട് എല്ലാ മോഡലും use ചെയ്ത ഒരു ആപ്പിൾ ഫാൻ ആണ് ഞാൻ ...❤,Mixed Feelings
